,y
533,1
534,1
535,1
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,0
584,0
585,1
586,1
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,1
630,0
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,0
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,1
655,0
656,1
657,0
658,1
659,0
660,1
661,1
662,0
663,1
664,0
665,1
666,0
667,1
668,1
669,1
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,0
689,0
690,0
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,0
713,1
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,0
750,1
751,0
752,1
753,0
754,0
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,0
772,1
773,0
774,1
775,0
776,0
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,0
790,1
791,0
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,1
815,0
816,0
817,1
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,1
826,1
827,1
828,1
829,0
830,0
831,1
832,0
833,0
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,1
842,0
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,1
851,0
852,1
853,0
854,1
855,0
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,1
864,0
865,1
866,1
867,0
868,0
869,0
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
878,0
879,1
880,1
881,1
882,1
883,1
884,1
885,0
886,0
887,1
888,0
889,1
890,1
891,1
892,1
893,0
894,1
895,1
896,0
897,1
898,0
899,0
900,1
901,1
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,1
916,1
917,1
918,1
919,0
920,0
921,0
922,1
923,1
924,1
925,1
926,1
927,0
928,1
929,0
930,0
931,1
932,1
933,1
934,0
935,1
936,0
937,1
938,0
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,0
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,1
960,0
961,1
962,1
963,1
964,1
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,1
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,0
981,1
982,0
983,1
984,1
985,0
986,1
987,1
988,0
989,0
990,0
991,1
992,0
993,0
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,0
1044,1
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,0
1071,0
1072,1
1073,1
1074,1
1075,1
1076,0
1077,0
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,1
1138,1
1139,1
1140,0
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,0
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,1
1187,1
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,1
1196,0
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,0
1226,1
1227,0
1228,0
1229,1
1230,0
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,0
1238,0
1239,1
1240,1
1241,1
1242,1
1243,0
1244,1
1245,0
1246,1
1247,1
1248,1
1249,1
1250,0
1251,0
1252,1
1253,1
1254,1
1255,1
1256,1
1257,0
1258,1
1259,1
1260,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,1
1267,1
1268,1
1269,0
1270,1
1271,1
1272,0
1273,1
1274,1
1275,1
1276,0
1277,1
1278,1
1279,1
1280,0
1281,1
1282,0
1283,0
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,0
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,1
1306,1
1307,1
1308,0
1309,1
1310,0
1311,0
1312,0
1313,1
1314,1
1315,0
1316,0
1317,0
1318,1
1319,1
1320,1
1321,0
1322,0
1323,1
1324,1
1325,0
1326,1
1327,0
1328,1
1329,1
1330,0
1331,0
1332,1
1333,1
1334,0
1335,1
1336,1
1337,1
1338,1
1339,0
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,0
1353,1
1354,1
1355,0
1356,0
1357,1
1358,0
1359,0
1360,1
1361,0
1362,0
1363,1
1364,1
1365,1
1366,1
1367,1
1368,0
1369,1
1370,1
1371,0
1372,0
1373,1
1374,0
1375,0
1376,1
1377,1
1378,1
1379,0
1380,0
1381,0
1382,1
1383,0
1384,1
1385,1
1386,1
1387,0
1388,1
1389,0
1390,0
1391,1
1392,1
1393,1
1394,0
1395,0
1396,0
1397,1
1398,1
1399,1
1400,0
1401,1
1402,1
1403,0
1404,1
1405,1
1406,1
1407,0
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,0
1415,1
1416,1
1417,0
1418,0
1419,1
1420,1
1421,0
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,1
1429,1
1430,0
1431,0
1432,1
1433,1
1434,0
1435,0
1436,0
1437,1
1438,1
1439,1
1440,0
1441,0
1442,0
1443,0
1444,0
1445,1
1446,0
1447,0
1448,1
1449,0
1450,1
1451,1
1452,1
1453,1
1454,1
1455,1
1456,1
1457,0
1458,1
1459,0
1460,1
1461,1
1462,0
1463,1
1464,0
1465,1
1466,0
1467,1
1468,0
1469,1
1470,1
1471,0
1472,1
1473,1
1474,1
1475,0
1476,1
1477,1
1478,1
1479,0
1480,0
1481,1
1482,1
1483,0
1484,1
1485,1
1486,0
1487,1
1488,1
1489,0
1490,0
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,0
1501,0
1502,1
1503,0
1504,1
1505,1
1506,0
1507,1
1508,0
1509,0
1510,1
1511,0
1512,1
1513,1
1514,1
1515,1
1516,1
1517,0
1518,1
1519,1
1520,0
1521,0
1522,1
1523,0
1524,1
1525,1
1526,1
1527,1
1528,0
1529,1
1530,1
1531,1
1532,1
1533,1
1534,0
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,0
1544,0
1545,0
1546,0
1547,1
1548,0
1549,1
1550,0
1551,1
1552,0
1553,0
1554,1
1555,0
1556,1
1557,0
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,0
1566,1
1567,0
1568,1
1569,1
1570,1
1571,1
1572,1
1573,0
1574,1
1575,1
1576,0
1577,1
1578,0
1579,1
1580,0
1581,0
1582,0
1583,1
1584,1
1585,1
1586,1
1587,1
1588,0
1589,0
1590,1
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,0
1604,1
1605,0
1606,1
1607,0
1608,0
1609,1
1610,0
1611,1
1612,1
1613,1
1614,0
1615,0
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,0
1623,1
1624,1
1625,1
1626,0
1627,1
1628,1
1629,1
1630,0
1631,1
1632,1
1633,1
1634,0
1635,0
1636,0
1637,1
1638,1
1639,0
1640,1
1641,1
1642,1
1643,1
1644,1
1645,1
1646,0
1647,1
1648,1
1649,0
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,0
1657,0
1658,1
1659,0
1660,1
1661,1
1662,1
1663,1
1664,0
1665,1
1666,0
1667,1
1668,0
1669,1
1670,1
1671,0
1672,0
1673,1
1674,0
1675,1
1676,1
1677,1
1678,1
1679,1
1680,1
1681,1
1682,0
1683,1
1684,1
1685,0
1686,1
1687,0
1688,0
1689,1
1690,1
1691,1
1692,0
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,0
1700,1
1701,1
1702,1
1703,0
1704,0
1705,1
1706,1
1707,1
1708,0
1709,0
1710,1
1711,0
1712,0
1713,0
1714,1
1715,0
1716,1
1717,0
1718,1
1719,1
1720,1
1721,0
1722,0
1723,0
1724,1
1725,1
1726,1
1727,1
1728,0
1729,1
1730,1
1731,0
1732,1
1733,0
1734,0
1735,1
1736,1
1737,0
1738,0
1739,1
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,0
1747,1
1748,1
1749,0
1750,1
1751,1
1752,0
1753,0
1754,0
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,0
1768,0
1769,1
1770,1
1771,0
1772,0
1773,0
1774,1
1775,1
1776,1
1777,1
1778,1
1779,0
1780,0
1781,1
1782,0
1783,1
1784,1
1785,0
1786,0
1787,0
1788,0
1789,1
1790,1
1791,0
1792,1
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,0
1804,0
1805,0
1806,0
1807,1
1808,1
1809,0
1810,1
1811,1
1812,1
1813,0
1814,0
1815,1
1816,0
1817,1
1818,1
1819,1
1820,1
1821,0
1822,0
1823,1
1824,1
1825,0
1826,0
1827,1
1828,1
1829,1
1830,0
1831,0
1832,1
1833,1
1834,0
1835,1
1836,1
1837,0
1838,0
1839,1
1840,1
1841,0
1842,1
1843,1
1844,1
1845,1
1846,1
1847,0
1848,0
1849,0
1850,0
1851,0
1852,1
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,1
1860,0
1861,0
1862,0
1863,1
1864,0
1865,1
1866,1
1867,1
1868,0
1869,1
1870,1
1871,1
1872,0
1873,0
1874,0
1875,1
1876,0
1877,0
1878,0
1879,0
1880,0
1881,1
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,1
1890,0
1891,1
1892,0
1893,1
1894,1
1895,0
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,0
1904,0
1905,0
1906,1
1907,0
1908,1
1909,0
1910,0
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,1
1933,1
1934,1
1935,1
1936,0
1937,0
1938,0
1939,1
1940,0
1941,1
1942,1
1943,0
1944,1
1945,0
1946,1
1947,0
1948,1
1949,0
1950,0
1951,1
1952,1
1953,1
1954,1
1955,0
1956,0
1957,1
1958,0
1959,0
1960,0
1961,0
1962,1
1963,1
1964,0
1965,0
1966,0
1967,0
1968,1
1969,1
1970,0
1971,0
1972,0
1973,0
1974,0
1975,1
1976,1
1977,1
1978,0
1979,0
1980,1
1981,0
1982,0
1983,1
1984,1
1985,1
1986,0
1987,1
1988,1
1989,0
1990,0
1991,0
1992,1
1993,1
1994,0
1995,0
1996,0
1997,1
1998,1
1999,1
2000,1
2001,0
2002,1
2003,0
2004,1
2005,0
2006,1
2007,0
2008,0
2009,0
2010,0
2011,0
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,1
2020,0
2021,1
2022,0
2023,0
2024,1
2025,1
2026,1
2027,1
2028,0
2029,1
2030,0
2031,1
2032,1
2033,1
2034,0
2035,1
2036,0
2037,0
2038,0
2039,0
2040,0
2041,1
2042,0
2043,0
2044,0
2045,0
2046,1
2047,1
2048,1
2049,1
2050,1
2051,0
2052,0
2053,0
2054,1
2055,0
2056,0
2057,1
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,0
2066,1
2067,1
2068,1
2069,1
2070,1
2071,0
2072,1
2073,1
2074,0
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,0
2083,0
2084,0
2085,0
2086,1
2087,1
2088,0
2089,1
2090,0
2091,1
2092,1
2093,1
2094,1
2095,1
2096,0
2097,1
2098,1
2099,1
2100,0
2101,1
2102,1
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,0
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,0
2117,1
2118,0
2119,1
2120,1
2121,1
2122,0
2123,1
2124,0
2125,1
2126,1
2127,0
2128,1
2129,1
2130,0
2131,0
2132,1
2133,1
2134,0
2135,0
2136,0
2137,1
2138,1
2139,1
2140,0
2141,1
2142,1
2143,1
2144,1
2145,0
2146,0
2147,0
2148,1
2149,1
2150,0
2151,1
2152,1
2153,1
2154,1
2155,0
2156,1
2157,1
2158,1
2159,1
2160,0
2161,1
2162,1
2163,0
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,0
2176,0
2177,1
2178,1
2179,1
2180,1
2181,1
2182,0
2183,1
2184,0
2185,0
2186,0
2187,1
2188,1
2189,1
2190,1
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,1
2198,0
2199,1
2200,1
2201,1
2202,0
2203,0
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,0
2213,1
2214,1
2215,1
2216,0
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,0
2227,0
2228,0
2229,0
2230,1
2231,1
2232,1
2233,0
2234,1
2235,1
2236,1
2237,0
2238,0
2239,0
2240,1
2241,0
2242,1
2243,1
2244,1
2245,1
2246,1
2247,0
2248,0
2249,1
2250,0
2251,1
2252,1
2253,1
2254,1
2255,0
2256,1
2257,1
2258,0
2259,1
2260,1
2261,0
2262,1
2263,0
2264,0
2265,0
2266,1
2267,1
2268,1
2269,0
2270,0
2271,0
2272,0
2273,1
2274,1
2275,1
2276,1
2277,1
2278,0
2279,1
2280,1
2281,0
2282,1
2283,1
2284,1
2285,1
2286,0
2287,0
2288,0
2289,0
2290,1
2291,0
2292,1
2293,1
2294,1
2295,0
2296,0
2297,0
2298,0
2299,1
2300,1
2301,1
2302,0
2303,1
2304,0
2305,0
2306,0
2307,1
2308,1
2309,0
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,0
2317,0
2318,1
2319,1
2320,1
2321,0
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,1
2329,1
2330,0
2331,0
2332,0
2333,1
2334,0
2335,1
2336,0
2337,0
2338,1
2339,0
2340,1
2341,1
2342,0
2343,1
2344,0
2345,0
2346,0
2347,1
2348,1
2349,0
2350,1
2351,0
2352,1
2353,0
2354,0
2355,1
2356,1
2357,0
2358,1
2359,1
2360,0
2361,1
2362,1
2363,0
2364,0
2365,0
2366,1
2367,0
2368,1
2369,0
2370,0
2371,1
2372,1
2373,1
2374,0
2375,0
2376,0
2377,1
2378,0
2379,1
2380,1
2381,0
2382,1
2383,1
2384,1
2385,1
2386,1
2387,0
2388,1
2389,1
2390,1
2391,0
2392,0
2393,1
2394,0
2395,1
2396,1
2397,1
2398,1
2399,1
2400,0
2401,0
2402,0
2403,1
2404,1
2405,0
2406,0
2407,1
2408,1
2409,1
2410,0
2411,0
2412,1
2413,1
2414,1
2415,1
2416,0
2417,1
2418,0
2419,1
2420,0
2421,0
2422,0
2423,1
2424,0
2425,1
2426,1
2427,0
2428,1
2429,1
2430,0
2431,1
2432,1
2433,1
2434,1
2435,1
2436,0
2437,1
2438,0
2439,1
2440,0
2441,1
2442,0
2443,1
2444,0
2445,0
2446,0
2447,0
2448,1
2449,1
2450,0
2451,1
2452,1
2453,1
2454,1
2455,0
2456,1
2457,1
2458,0
2459,0
2460,1
2461,1
2462,1
2463,1
2464,1
2465,1
2466,0
2467,1
2468,1
2469,0
2470,0
2471,1
2472,1
2473,1
2474,0
2475,1
2476,0
2477,1
2478,0
2479,1
2480,1
2481,1
2482,1
2483,0
2484,1
2485,0
2486,0
2487,1
2488,1
2489,0
2490,0
2491,1
2492,1
2493,1
2494,1
2495,1
2496,1
2497,0
2498,0
2499,0
2500,1
2501,0
2502,1
2503,1
2504,1
2505,0
2506,1
2507,1
2508,1
2509,0
2510,0
2511,1
2512,0
2513,0
2514,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,0
2522,1
2523,0
2524,1
2525,0
2526,0
2527,1
2528,1
2529,0
2530,0
2531,1
2532,1
2533,1
2534,0
2535,0
2536,1
2537,1
2538,1
2539,1
2540,1
2541,0
2542,0
2543,0
2544,0
2545,0
2546,1
2547,0
2548,0
2549,0
2550,0
2551,0
2552,1
2553,1
2554,0
2555,1
2556,1
2557,1
2558,0
2559,1
2560,0
2561,1
2562,0
2563,0
2564,1
2565,0
2566,0
2567,0
2568,0
2569,0
2570,0
2571,0
2572,1
2573,1
2574,1
2575,0
2576,0
2577,0
2578,1
2579,1
2580,0
2581,0
2582,0
2583,0
2584,0
2585,0
2586,0
2587,1
2588,0
2589,0
2590,1
2591,1
2592,1
2593,1
2594,0
2595,0
2596,1
2597,1
2598,0
2599,1
2600,1
2601,0
2602,1
2603,0
2604,1
2605,1
2606,1
2607,1
2608,1
2609,0
2610,0
2611,0
2612,0
2613,1
2614,0
2615,0
2616,0
2617,1
2618,0
2619,0
2620,1
2621,0
2622,1
2623,0
2624,1
2625,1
2626,0
2627,1
2628,1
2629,0
2630,1
2631,0
2632,1
2633,1
2634,0
2635,1
2636,0
2637,0
2638,0
2639,0
2640,0
2641,1
2642,1
2643,0
2644,0
2645,0
2646,1
2647,0
2648,1
2649,0
2650,1
2651,1
2652,0
2653,0
2654,0
2655,0
2656,0
2657,0
2658,0
2659,1
2660,1
2661,1
2662,1
2663,1
2664,0
2665,1
2666,1
2667,0
2668,0
2669,1
2670,0
2671,0
2672,0
2673,0
2674,1
2675,0
2676,0
2677,1
2678,1
2679,1
2680,1
2681,0
2682,1
2683,0
2684,1
2685,1
2686,0
2687,1
2688,1
2689,1
2690,0
2691,0
2692,1
2693,1
2694,1
2695,0
2696,0
2697,0
2698,1
2699,1
2700,1
2701,1
2702,0
2703,1
2704,0
2705,1
2706,0
2707,1
2708,1
2709,0
2710,0
2711,1
2712,0
2713,0
2714,0
2715,1
2716,0
2717,1
2718,0
2719,0
2720,1
2721,0
2722,0
2723,1
2724,1
2725,1
2726,0
2727,1
2728,1
2729,1
2730,0
2731,0
2732,0
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,0
2744,1
2745,0
2746,1
2747,1
2748,0
2749,0
2750,0
2751,0
2752,0
2753,0
2754,1
2755,1
2756,1
2757,0
2758,1
2759,0
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,0
2770,1
2771,1
2772,1
2773,1
2774,0
2775,0
2776,0
2777,0
2778,1
2779,1
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2786,1
2787,1
2788,0
2789,1
2790,1
2791,1
2792,1
2793,0
2794,0
2795,0
2796,0
2797,1
2798,0
2799,0
2800,0
2801,0
2802,0
2803,1
2804,1
2805,1
2806,1
2807,1
2808,1
2809,1
2810,0
2811,0
2812,1
2813,0
2814,0
2815,1
2816,0
2817,1
2818,1
2819,0
2820,1
2821,0
2822,1
2823,0
2824,1
2825,0
2826,1
2827,1
2828,0
2829,0
2830,1
2831,0
2832,0
2833,1
2834,1
2835,1
2836,0
2837,0
2838,1
2839,1
2840,1
2841,1
2842,1
2843,0
2844,1
2845,1
2846,1
2847,1
2848,0
2849,1
2850,1
2851,1
2852,1
2853,1
2854,0
2855,1
2856,1
2857,1
2858,0
2859,1
2860,0
2861,0
2862,0
2863,1
2864,1
2865,1
2866,1
2867,1
2868,1
2869,0
2870,1
2871,1
2872,1
2873,0
2874,1
2875,0
2876,1
2877,0
2878,0
2879,1
2880,0
2881,1
2882,1
2883,0
2884,1
2885,1
2886,1
2887,1
2888,0
2889,0
2890,1
2891,1
2892,1
2893,0
2894,0
2895,0
2896,0
2897,1
2898,1
2899,1
2900,0
2901,1
2902,1
2903,0
2904,1
2905,0
2906,0
2907,0
2908,0
2909,1
2910,0
2911,0
2912,1
2913,1
2914,0
2915,0
2916,1
2917,1
2918,0
2919,0
2920,0
2921,1
2922,1
2923,0
2924,1
2925,0
2926,1
2927,1
2928,1
2929,1
2930,0
2931,0
2932,0
2933,0
2934,1
2935,0
2936,0
2937,1
2938,1
2939,0
2940,0
2941,1
2942,1
2943,0
2944,0
2945,1
2946,0
2947,0
2948,0
2949,0
2950,0
2951,0
2952,0
2953,1
2954,1
2955,1
2956,1
2957,1
2958,0
2959,0
2960,1
2961,1
2962,0
2963,1
2964,0
2965,0
2966,1
2967,1
2968,1
2969,1
2970,1
2971,1
2972,0
2973,1
2974,1
2975,1
2976,1
2977,1
2978,1
2979,0
2980,0
2981,1
2982,1
2983,1
2984,0
2985,0
2986,1
2987,0
2988,1
2989,0
2990,1
2991,1
2992,1
2993,1
2994,1
2995,1
2996,0
2997,0
